[PADDLE-DBG] detect: r1=0 val1=4095  r2=0 val2=4095  spread=0
[PADDLE-DBG] thresholds: LO=200 SPREAD=200
[PADDLE-DBG] checks: read_ok=1  lo_ok=1  spread_ok=1
[PADDLE-DBG] => ENABLED
[PADDLE-ADC] valid=0 (DAC busy) pot=228
[PADDLE-ADC] valid=0 (DAC busy) pot=228
[PADDLE-ADC] valid=0 (DAC busy) pot=228
[PADDLE-ADC] valid=0 (DAC busy) pot=228
[PADDLE-ADC] valid=0 (DAC busy) pot=228
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=1 sorted=[0] median=0 pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=33
[PADDLE-ADC] valid=0 (DAC busy) pot=33
[PADDLE-ADC] valid=0 (DAC busy) pot=33
[PADDLE-ADC] valid=0 (DAC busy) pot=33
[PADDLE-ADC] valid=0 (DAC busy) pot=33
[PADDLE-ADC] valid=0 (DAC busy) pot=33
[PADDLE-ADC] valid=0 (DAC busy) pot=33
[PADDLE-ADC] valid=0 (DAC busy) pot=33
[PADDLE-ADC] valid=0 (DAC busy) pot=33
[PADDLE-ADC] valid=0 (DAC busy) pot=33
[PADDLE-ADC] valid=0 (DAC busy) pot=33
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
[PADDLE-ADC] valid=0 (DAC busy) pot=1
